ERA,WHIP,W,L,SV,SO,BB,HBP,HRA,BF,player,team,IP,target_year,age,data_years
3.92,1.37,0.4,0.4,0.2,7.3,3.9,0.3,0.7,37.0,永野　将司,ロッテ,8.6,2021,28,3
3.81,1.35,0.4,0.4,0.2,7.3,3.8,0.3,0.9,37.2,笠井　崇正,DeNA,8.6,2021,26,3
4.27,1.37,0.4,0.5,0.2,6.7,2.9,0.3,0.8,31.9,岩嵜　翔,ソフトバンク,7.4,2021,31,3
3.61,1.28,1.5,1.8,0.5,22.4,12.5,0.9,2.9,119.6,山本　拓実,中日,27.7,2021,21,3
3.52,1.21,0.1,0.1,0.0,0.8,0.4,0.0,0.1,4.3,石川　翔,中日,1.0,2021,21,1
3.64,1.25,0.1,0.1,0.0,0.9,0.4,0.0,0.1,4.3,立田　将太,日本ハム,1.0,2021,24,1
4.06,1.34,0.5,0.6,0.2,7.8,3.6,0.3,1.0,39.7,田川　賢吾,ヤクルト,9.2,2021,26,2
3.97,1.29,0.4,0.4,0.2,5.8,2.9,0.2,0.7,32.2,北浦　竜次,日本ハム,7.4,2021,21,3
3.98,1.38,0.1,0.1,0.0,0.8,0.4,0.0,0.1,4.3,カンポス,広島,1.0,2021,33,1
4.23,1.46,0.0,0.0,0.0,0.3,0.1,0.0,0.0,1.4,石井　裕也,日本ハム,0.3,2021,39,1
3.39,1.25,2.4,2.1,0.9,33.4,15.1,1.3,3.4,164.4,福　敬登,中日,38.8,2021,28,3
3.77,1.35,0.3,0.3,0.1,4.7,2.2,0.2,0.5,23.5,ヘルウェグ,広島,5.5,2021,32,2
3.73,1.3,1.5,1.7,0.8,37.3,16.2,1.5,4.1,174.1,菊池　保則,広島,41.1,2021,31,3
3.57,1.32,1.3,1.2,0.5,28.8,12.7,2.3,3.6,137.7,東條　大樹,ロッテ,32.2,2021,29,3
3.31,1.32,1.8,1.2,0.6,20.4,10.3,1.2,2.4,111.3,小川　龍也,西武,26.3,2021,29,3
2.96,1.18,3.9,3.9,7.5,66.9,25.5,2.9,6.4,264.0,フランスア,広島,63.1,2021,27,3
4.04,1.46,0.9,0.7,0.4,11.9,5.9,0.6,1.6,63.5,久保　裕也,楽天,14.9,2021,40,3
3.81,1.3,2.4,2.2,0.6,34.8,17.7,1.0,4.4,172.6,宋　家豪,楽天,40.7,2021,28,3
3.07,1.25,2.4,2.2,2.2,44.4,17.3,2.8,3.6,195.5,宮西　尚生,日本ハム,47.2,2021,35,3
3.77,1.31,0.7,0.7,0.3,14.0,6.1,0.5,1.3,64.2,今野　龍太,ヤクルト,14.8,2021,25,3
3.61,1.35,2.1,1.7,0.5,27.3,13.5,1.2,3.4,143.8,青山　浩二,楽天,34.2,2021,37,3
3.81,1.4,5.0,3.5,1.0,55.2,32.4,2.0,7.8,298.5,ミランダ,ソフトバンク,69.6,2021,32,2
3.83,1.28,1.0,1.2,0.5,23.6,10.2,1.1,3.2,120.7,宮國　椋丞,巨人,28.4,2021,28,3
3.42,1.29,2.8,2.4,2.9,39.4,15.7,1.1,3.7,176.5,ハーマン,ロッテ,42.8,2021,36,3
3.84,1.34,1.2,1.3,0.6,21.7,9.0,1.3,2.7,105.5,比嘉　幹貴,オリックス,25.2,2021,38,3
3.25,1.23,5.3,5.1,0.8,66.3,25.8,3.3,7.7,365.4,メルセデス,巨人,87.3,2021,27,3
3.13,1.27,2.6,2.3,10.6,45.4,14.9,1.4,4.0,201.2,石山　泰稚,ヤクルト,48.0,2021,32,3
4.14,1.3,1.0,0.9,0.8,18.4,8.9,1.0,1.9,90.7,佐藤　優,中日,21.0,2021,27,3
3.86,1.45,1.8,2.2,0.9,29.2,15.2,2.4,3.0,144.2,マーティン,西武,33.1,2021,34,2
2.96,1.13,12.0,5.7,1.0,141.1,37.5,5.0,14.0,624.1,菅野　智之,巨人,153.2,2021,31,3
3.85,1.3,1.3,1.1,0.9,20.0,7.3,0.6,2.9,92.7,浦野　博司,日本ハム,22.0,2021,31,3
4.06,1.33,1.7,1.6,0.9,33.2,15.1,1.1,3.9,175.3,公文　克彦,日本ハム,40.9,2021,29,3
3.8,1.31,1.3,1.1,0.4,18.2,8.8,1.3,2.2,101.4,竹安　大知,オリックス,23.8,2021,26,3
3.8,1.35,0.2,0.2,0.1,3.3,1.6,0.1,0.4,17.1,阿部　和成,ロッテ,4.0,2021,31,2
4.03,1.35,0.9,1.1,0.3,13.6,6.8,0.7,1.9,75.5,東明　大貴,オリックス,17.8,2021,31,3
3.1,1.22,1.4,1.8,0.7,29.6,10.9,1.2,2.4,127.0,ロドリゲス,中日,30.3,2021,29,3
3.68,1.44,2.4,2.2,3.4,40.1,18.5,1.1,3.5,160.7,藤川　球児,阪神,37.8,2021,40,3
4.11,1.43,0.3,0.3,0.2,5.8,2.5,0.2,0.6,28.7,岸田　護,オリックス,6.8,2021,39,2
3.6,1.24,0.4,0.4,0.2,6.4,2.9,0.3,0.8,32.6,西口　直人,楽天,7.7,2021,24,1
3.61,1.3,0.9,0.9,0.5,15.6,7.7,0.7,1.9,81.1,森　雄大,楽天,19.0,2021,26,1
4.21,1.5,1.1,1.0,0.4,16.7,8.9,0.9,2.0,88.9,寺原　隼人,ヤクルト,20.4,2021,37,2
3.1,1.24,1.7,1.9,1.0,36.7,16.5,3.1,2.7,161.5,高梨　雄平,巨人,38.0,2021,28,3
3.18,1.19,5.9,4.0,1.1,79.5,28.8,2.4,8.4,367.8,東　克樹,DeNA,87.9,2021,25,2
3.35,1.21,2.0,1.5,0.6,27.6,10.7,1.8,2.5,129.3,嘉弥真　新也,ソフトバンク,31.1,2021,31,3
3.5,1.24,1.4,1.1,0.7,23.7,10.2,1.3,3.0,125.7,井口　和朋,日本ハム,29.8,2021,27,3
3.92,1.45,2.1,3.0,7.9,45.6,21.5,1.4,4.4,207.2,増井　浩俊,オリックス,47.9,2021,36,3
3.86,1.34,2.2,2.0,2.6,33.3,12.9,1.6,3.3,147.9,ヒース,西武,34.9,2021,35,2
