AVG,OBP,SLG,OPS,HR,RBI,SB,BB,SO,H,player,team,PA,target_year,age,data_years
0.264,0.325,0.322,0.647,2.2,36.1,14.2,47.7,95.1,145.3,中野　拓夢,阪神,637,2026,29,3
0.289,0.342,0.369,0.696,3.9,29.7,12.7,40.8,72.9,144.3,岡林　勇希,中日,577,2026,24,3
0.26,0.352,0.395,0.752,14.2,70.0,4.0,68.4,100.8,133.4,大山　悠輔,阪神,582,2026,31,3
0.257,0.336,0.409,0.768,7.4,32.8,2.0,26.8,43.9,64.8,柳田　悠岐,ソフトバンク,264,2026,37,3
0.287,0.398,0.478,0.885,15.4,58.6,4.8,69.6,75.0,112.7,近藤　健介,ソフトバンク,460,2026,32,3
0.262,0.314,0.383,0.702,11.9,63.7,1.3,38.0,69.2,142.3,佐野　恵太,DeNA,579,2026,31,3
0.287,0.338,0.48,0.812,19.5,66.2,5.7,28.7,76.2,130.1,牧　秀悟,DeNA,501,2026,27,3
0.236,0.328,0.376,0.721,13.9,51.8,2.3,58.2,94.3,108.7,浅村　栄斗,楽天,496,2026,35,3
0.262,0.374,0.5,0.865,24.2,63.6,6.3,63.8,120.5,94.7,村上　宗隆,ヤクルト,446,2026,26,3
0.284,0.367,0.518,0.885,22.5,66.0,1.8,50.3,76.5,116.8,岡本　和真,巨人,473,2026,29,3
0.228,0.306,0.298,0.626,3.4,29.8,1.5,39.4,47.9,85.9,中村　晃,ソフトバンク,394,2026,36,3
0.272,0.348,0.366,0.719,6.0,44.2,24.3,61.8,89.9,153.5,近本　光司,阪神,625,2026,31,3
0.217,0.293,0.315,0.62,4.8,23.4,2.2,27.0,53.1,64.0,中村　奨吾,ロッテ,317,2026,33,3
0.259,0.322,0.438,0.748,18.8,59.1,3.3,40.6,122.1,117.7,万波　中正,日本ハム,525,2026,25,3
0.272,0.354,0.462,0.811,19.9,62.6,1.9,54.5,132.2,122.0,細川　成也,中日,522,2026,27,3
0.229,0.305,0.338,0.655,7.6,41.3,11.7,43.5,88.3,101.9,外崎　修汰,西武,482,2026,33,3
0.265,0.312,0.395,0.708,8.4,40.0,6.3,24.7,56.1,99.9,中川　圭太,オリックス,411,2026,29,3
0.233,0.292,0.296,0.598,2.2,20.0,9.8,25.0,47.8,82.4,松本　剛,日本ハム,379,2026,32,3
0.233,0.307,0.3,0.609,3.6,25.7,26.1,41.0,77.8,94.0,小深田　大翔,楽天,460,2026,30,3
0.273,0.34,0.498,0.832,25.2,82.4,6.3,47.8,140.4,132.6,佐藤　輝明,阪神,551,2026,27,3
0.245,0.299,0.385,0.696,16.2,66.6,3.1,40.0,85.6,134.6,オスナ,ヤクルト,570,2026,33,3
0.245,0.299,0.323,0.625,1.8,11.8,3.2,11.9,25.7,42.6,関根　大気,DeNA,190,2026,30,3
0.283,0.356,0.436,0.798,10.5,43.5,2.4,37.9,86.0,99.9,サンタナ,ヤクルト,390,2026,31,3
0.235,0.295,0.326,0.627,4.8,27.7,2.0,23.0,49.9,67.2,ノイジー,阪神,306,2026,31,2
0.248,0.313,0.376,0.695,12.4,47.4,3.9,43.3,93.5,117.6,マキノン,西武,514,2026,31,1
0.223,0.293,0.4,0.708,14.0,40.9,1.1,31.1,65.9,73.3,ポランコ,ロッテ,344,2026,34,3
0.264,0.335,0.379,0.714,7.7,43.3,16.4,40.5,97.9,116.7,辰己　涼介,楽天,499,2026,29,3
0.224,0.266,0.285,0.583,1.2,11.9,3.3,10.3,26.3,49.5,大島　洋平,中日,206,2026,40,3
0.242,0.306,0.367,0.685,5.8,25.9,1.1,21.2,57.0,60.7,大城　卓三,巨人,271,2026,33,3
0.272,0.315,0.353,0.653,3.7,34.2,3.4,22.3,53.0,103.1,長岡　秀樹,ヤクルト,434,2026,24,3
0.228,0.271,0.32,0.612,6.3,32.4,4.9,24.0,72.0,101.6,菊池　涼介,広島,449,2026,36,3
0.241,0.301,0.35,0.666,5.4,30.5,2.2,27.1,56.8,84.5,今宮　健太,ソフトバンク,376,2026,34,3
0.249,0.299,0.331,0.654,3.6,23.9,4.3,23.3,65.2,95.5,秋山　翔吾,広島,382,2026,37,3
0.272,0.328,0.372,0.685,6.8,40.5,2.4,34.1,68.7,111.3,紅林　弘太郎,オリックス,481,2026,24,3
0.258,0.315,0.362,0.686,6.2,29.4,7.3,25.6,57.1,98.2,桑原　将志,DeNA,413,2026,32,3
0.265,0.326,0.358,0.69,5.4,38.6,8.2,37.2,68.5,123.5,吉川　尚輝,巨人,510,2026,31,3
0.24,0.302,0.324,0.626,4.0,26.3,3.2,25.2,50.0,83.8,宗　佑磨,オリックス,388,2026,29,3
0.247,0.307,0.382,0.676,6.1,25.7,1.5,16.2,51.8,48.2,山口　航輝,ロッテ,226,2026,25,3
0.259,0.32,0.386,0.694,6.9,28.2,2.7,23.6,65.1,72.7,野村　佑希,日本ハム,323,2026,25,3
0.25,0.315,0.337,0.643,3.1,26.5,1.8,26.1,65.4,69.5,安田　尚憲,ロッテ,322,2026,26,3
0.226,0.288,0.297,0.591,1.8,28.4,1.7,23.7,66.3,69.3,木浪　聖也,阪神,338,2026,31,3
0.257,0.305,0.378,0.668,4.8,21.3,1.0,13.6,42.1,53.4,石川　昂弥,中日,239,2026,24,3
0.26,0.33,0.409,0.763,11.2,49.4,1.7,37.5,45.8,105.9,宮﨑　敏郎,DeNA,418,2026,37,3
0.225,0.285,0.363,0.672,8.3,33.8,1.8,25.5,61.7,73.5,坂本　勇人,巨人,328,2026,37,3
0.26,0.348,0.397,0.749,7.5,35.5,3.5,37.4,52.2,78.5,森　友哉,オリックス,345,2026,30,3
0.252,0.325,0.384,0.709,10.9,43.2,1.5,37.3,72.0,96.1,頓宮　裕真,オリックス,428,2026,29,3
0.264,0.334,0.392,0.72,8.8,40.3,3.0,38.4,74.9,99.4,坂倉　将吾,広島,432,2026,27,3
0.224,0.308,0.375,0.694,7.7,35.4,1.6,26.9,65.4,61.0,マルティネス,日本ハム,294,2026,33,3
0.275,0.314,0.378,0.698,6.9,44.9,7.0,23.9,73.4,122.4,西川　龍馬,オリックス,467,2026,31,3
0.243,0.313,0.352,0.665,5.9,33.8,16.0,36.5,82.3,87.1,小郷　裕哉,楽天,405,2026,29,3
0.274,0.328,0.384,0.694,2.8,12.5,1.1,9.9,29.6,35.2,秋広　優人,巨人,150,2026,23,3
0.233,0.285,0.304,0.601,2.3,24.1,8.2,28.5,73.1,99.6,源田　壮亮,西武,452,2026,33,3
